"Date","RF","TERM","CORP","HY","LIQ"
"1998-12-31",NA,NA,NA,NA,NA
"1999-01-31",NA,NA,NA,NA,NA
"1999-02-28",NA,NA,NA,NA,NA
"1999-03-31",NA,NA,NA,NA,NA
"1999-04-30",NA,NA,NA,NA,NA
"1999-05-31",NA,NA,NA,NA,NA
"1999-06-30",NA,NA,NA,NA,NA
"1999-07-31",NA,NA,NA,NA,NA
"1999-08-31",NA,NA,NA,NA,NA
"1999-09-30",NA,NA,NA,NA,NA
"1999-10-31",NA,NA,NA,NA,NA
"1999-11-30",NA,NA,NA,NA,NA
"1999-12-31",NA,NA,NA,NA,NA
"2000-01-31",NA,NA,NA,NA,NA
"2000-02-29",0.00664329621802273,0.00290416362223067,-0.000288814334554299,-0.000260424925418556,NA
"2000-03-31",0.00594919542478767,0.00705288641202428,-0.000293061935445094,-0.00222526975801252,NA
"2000-04-30",0.00329594371058239,-0.00822260545593645,-0.00113164540463351,-0.00114215147611696,NA
"2000-05-31",0.00232153276278546,-0.0104728301969461,0.00175659722096277,0.00108028268737637,NA
"2000-06-30",0.0118680464368841,0.0193171368663856,-0.000812190444750227,0.00266346137808737,NA
"2000-07-31",0.00693630461648875,0.00295418647852141,0.00033309713063634,9.67427260880616e-05,NA
"2000-08-31",0.00912266466670264,0.0128661559994514,-0.000125163766209857,-0.000955464026203057,NA
"2000-09-30",0.00857638152495643,-0.00255793948313565,0.000151352907547642,-4.5093142167385e-05,NA
"2000-10-31",0.00619588202865073,-0.00329340818698287,-0.00372134341654506,-0.0129649383261108,NA
"2000-11-30",0.011413197548902,0.00778819705778599,-0.00292973093731175,-0.0036020225017015,NA
"2000-12-31",0.0141600838716807,0.0207028739222725,-0.00315055033559331,-0.00149340435702294,NA
"2001-01-31",0.0158350097573636,0.00364858612087882,0.000406202586671789,0.00484224511217279,NA
"2001-02-28",0.00738510961686201,0.00787290180728362,0.00019475912285305,0.000997614703993621,NA
"2001-03-31",0.00996506341561387,-0.000359731589543166,-0.000460410440899617,-0.0010281328129933,NA
